gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
0,0,2.739375114440918,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6590809994320992,0.6601606711745263,1.001638147273791,4.156355769323218,0.0005773544311523437,0.0003397450790059262
0,5,22.692090225219726,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6600002495935733,0.6612814694643021,1.0019412414942537,34.381941884406054,0.0,3.6951555288126284e-248
0,10,42.69222774505616,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6602012015525884,0.6613865107297897,1.0017953756739821,64.66548022732658,0.0,0.0
0,15,62.722213935852054,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6601939786364249,0.6614355698227882,1.0018806460321368,95.00573462575272,0.0,0.0
0,20,82.70730648040771,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6602362171543312,0.6614243865013123,1.0017996124964217,125.26926625879832,0.0,0.0
0,25,102.70653476715088,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6600069109029805,0.6612589254975318,1.0018969719466095,155.61433232060278,0.0,0.0
0,30,122.72152538299562,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6599030547462224,0.661159659922123,1.0019042269419163,185.96902151057688,0.0,0.0
0,35,142.75377197265624,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6598511235068297,0.6610577240586282,1.001828595131256,216.3423943479558,0.0,0.0
0,40,162.70726547241213,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6604547338124633,0.6616429865360259,1.0017991433216074,246.35642254115933,0.0,0.0
0,45,182.70596084594723,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6602998525735555,0.6616692006587982,1.0020738276404357,276.70150180079634,0.0,0.0
0,50,202.72206077575683,10.0,0.6601939786364249,1.048356495175127,0.0001234474564347675,0.0004689089777928368,0.6607393851979362,0.661597029864788,1.0012980074838356,306.81092321298183,0.0,0.0
10,15,62.96336054801941,10.0,0.6966116595689346,1.048356495175127,0.00022886597234388949,0.0007122648810946597,0.6966116595689346,0.69765183031559,1.0014931859557146,90.38516608662756,0.0,0.0
20,15,63.28040442466736,10.0,0.7375640663930298,1.048356495175127,0.00021974515496495117,0.001618194531096906,0.7375640663930298,0.7389928102493286,1.0019371115288815,85.79648508926516,0.0,0.0
30,15,63.9063814163208,10.0,0.8010558217620265,1.048356495175127,0.00018253825205400329,0.0010733032148086963,0.8010558217620265,0.8026579163968564,1.001999978767155,79.7776879965124,0.0,0.0
