arm,setpoint_c,gain,plane,n_frames,n_near,pedestal,pedestal_sd,R_counts,state_separation,state_far_frac
a1,-10.0,50,R,20,12,64.61764176686604,0.0027515037146915566,0.9128481513117577,0.28099266688028973,0.4
a1,-10.0,50,G1,20,12,64.61166508992513,0.0029462147366436683,0.9145413922412066,0.28099266688028973,0.4
a1,-10.0,50,G2,20,12,64.63395563761394,0.0029996742111863513,0.9140499798822033,0.28099266688028973,0.4
a1,-10.0,50,B,20,12,64.6389102935791,0.0025809723609479113,0.9131091208722306,0.28099266688028973,0.4
a1,-10.0,200,R,20,19,69.22284959491931,0.004106680830131838,1.0808587170192034,0.5685436851099918,0.05
a1,-10.0,200,G1,20,19,69.21829263787521,0.002926906256387358,1.08311373689622,0.5685436851099918,0.05
a1,-10.0,200,G2,20,19,69.19800407008121,0.004077268072496299,1.0787826382952181,0.5685436851099918,0.05
a1,-10.0,200,B,20,19,69.20189044350072,0.004125230588691766,1.0796959233259493,0.5685436851099918,0.05
a2,-20.0,50,R,20,16,64.84630727767944,0.0036123121619695085,0.9002758203935268,0.2805907726287842,0.2
a2,-20.0,50,G1,20,16,64.84258794784546,0.003610880714545861,0.9013812415672586,0.2805907726287842,0.2
a2,-20.0,50,G2,20,16,64.86362767219543,0.003141662084770397,0.9003995485339394,0.2805907726287842,0.2
a2,-20.0,50,B,20,16,64.86742949485779,0.003022841138179859,0.9000477124741895,0.2805907726287842,0.2
a2,-20.0,200,R,20,12,69.6587683359782,0.0058831568175851424,1.0709716009529124,0.5678274234135946,0.4
a2,-20.0,200,G1,20,12,69.65375105539958,0.0056755534049243335,1.0711255747413617,0.5678274234135946,0.4
a2,-20.0,200,G2,20,12,69.63586235046387,0.005140767564798441,1.0702823397566417,0.5678274234135946,0.4
a2,-20.0,200,B,20,12,69.6395034790039,0.005383731077395976,1.0689936466793302,0.5678274234135946,0.4
a3,-10.0,50,R,20,20,64.75786552429199,0.14533288763711305,0.9248074066524105,,0.0
a3,-10.0,50,G1,20,20,64.7525405883789,0.14519087709707348,0.9265049961319546,,0.0
a3,-10.0,50,G2,20,20,64.77309989929199,0.14525515975807735,0.9257573615373712,,0.0
a3,-10.0,50,B,20,20,64.77917575836182,0.14519233587468225,0.924822196313444,,0.0
a3,-10.0,200,R,20,18,69.21700265672472,0.005390953903218149,1.0818752585829285,0.5665990511576334,0.1
a3,-10.0,200,G1,20,18,69.21222178141277,0.005027400851617377,1.0827799400588642,0.5665990511576334,0.1
a3,-10.0,200,G2,20,18,69.19343609280057,0.0055191764101698935,1.0802911243322004,0.5665990511576334,0.1
a3,-10.0,200,B,20,18,69.19702953762479,0.004361119302794238,1.0796033879079057,0.5665990511576334,0.1
