arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a1,-10.0,50,R,0,0.3,0.2999993259320989,0.109973,64.61764176686604,10.99716726938884,2.8507676728934292,0.006184630696426385,2.8837351422751842,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,0,0.3,0.2999993259320989,0.109973,64.61166508992513,12.018955866495773,3.0586258300741553,0.006789339353920898,3.090966095954591,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,0,0.3,0.2999993259320989,0.109973,64.63395563761394,12.013687451680497,3.049423782968343,0.003954571965256726,3.0924284451803006,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,0,0.3,0.2999993259320989,0.109973,64.6389102935791,12.05203914642334,3.052527499625559,0.005966539226828438,3.0940398608834263,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,1,0.5,0.5000006951776206,0.183289,64.61764176686604,18.385677973429367,4.202014177463637,0.01472833491344705,4.256935577735859,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,1,0.5,0.5000006951776206,0.183289,64.61166508992513,20.09776083628337,4.535207020207004,0.022583375839116293,4.610801555539554,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,1,0.5,0.5000006951776206,0.183289,64.63395563761394,20.0831340154012,4.527182165277067,0.0028265001375995524,4.602871736118081,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,1,0.5,0.5000006951776206,0.183289,64.6389102935791,20.154495239257812,4.535964753405196,0.027770466663950444,4.594831435424448,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,2,0.85,0.8500003634210999,0.311591,64.61764176686604,31.020526568094894,6.5850117405689925,0.009036591667801908,6.707839524728252,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,2,0.85,0.8500003634210999,0.311591,64.61166508992513,33.92555967966716,7.106995808034249,0.04231560280141089,7.258221507806869,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,2,0.85,0.8500003634210999,0.311591,64.63395563761394,33.915471394856766,7.13326194679859,0.001825514664927752,7.263753254080556,0.0,0.9140499798822033,-10.0,4,True
a1,-10.0,50,B,2,0.85,0.8500003634210999,0.311591,64.6389102935791,34.02969741821289,7.110900837622309,0.026116689730166343,7.275587373799885,0.0,0.9131091208722306,-10.0,4,True
a1,-10.0,50,R,3,1.4,1.3999986729739171,0.513208,64.61764176686604,51.51981321970622,10.292667642826078,0.026476056846723495,10.540256397150703,0.0,0.9128481513117577,-10.0,4,True
a1,-10.0,50,G1,3,1.4,1.3999986729739171,0.513208,64.61166508992513,56.317165056864425,11.200524774250756,0.03773324607819184,11.482337120091426,0.0,0.9145413922412066,-10.0,4,True
a1,-10.0,50,G2,3,1.4,1.3999986729739171,0.513208,64.63395563761394,56.293594678243,11.205197587086385,0.049307717406515295,11.48998729884596,0.0,0.9140499798822033,-10.0,4,True
