block,exptime,full_frame,t_min,level,n_clean,R,G1,G2,B,n_anomalous,pedestal,excess,implied_e_per_s
1,1.0,False,0.273842,76.552737,20,76.570833,76.56877,76.533355,76.537988,0,76.591795,-0.039059,-0.020038
3,60.0,False,10.13224,76.672074,20,76.688354,76.686917,76.659584,76.65344,0,76.554016,0.118058,0.001009
5,300.0,False,28.262921,76.317957,4,76.325085,76.325637,76.314816,76.30629,0,76.524631,-0.206674,-0.000353
7,300.0,False,48.341433,76.303481,4,76.307081,76.313035,76.302332,76.291476,0,76.514492,-0.211011,-0.000361
9,300.0,False,68.419433,76.29693,4,76.305737,76.304425,76.297436,76.280121,0,76.506034,-0.209104,-0.000358
11,300.0,False,88.497862,76.285612,4,76.293588,76.296274,76.28043,76.272157,0,76.498053,-0.212441,-0.000363
13,300.0,False,108.575583,76.273297,4,76.287289,76.282125,76.269607,76.254168,0,76.488797,-0.2155,-0.000369
15,300.0,False,128.652362,76.263912,4,76.271213,76.271673,76.263029,76.249735,0,76.485072,-0.22116,-0.000378
17,300.0,False,148.728421,76.251719,4,76.257019,76.259799,76.250019,76.240039,0,76.482667,-0.230948,-0.000395
19,300.0,False,168.805417,76.255894,4,76.266444,76.269766,76.250446,76.236919,0,76.477519,-0.221625,-0.000379
21,600.0,False,186.376517,77.100859,2,77.097267,77.101927,77.108335,77.095905,0,76.471579,0.62928,0.000538
23,600.0,False,206.441583,77.088674,2,77.086843,77.101791,77.091852,77.074207,0,76.466624,0.622049,0.000532
25,600.0,False,226.506508,77.087241,2,77.093365,77.099888,77.084814,77.070896,0,76.466612,0.620628,0.000531
30,600.0,True,276.686896,77.166407,4,77.18175,77.183324,77.148311,77.152242,0,76.486701,0.679705,0.000581
