path,size,mtime,indexed_at,status,measured_type,declared_type,type_agrees,imagetyp,exptime,gain,offset,set_temp,ccd_temp,date_obs,object,bayerpat,egain_hdr,focallen,xbinning,instrume,creator,naxis1,naxis2,bitpix,level,mean,median,min,max,std,sampled_px,sigma,block_spread,tail_frac,clump_frac,clump_h,clump_v,mult16_frac,sat_frac,med_r,sig_r,med_g1,sig_g1,med_g2,sig_g2,med_b,sig_b
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223329_0001.fit,16591680,1755203608.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-10.0,2025-08-14T20:33:28.809775,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37151336669922,77.0,42.0,116.0,1.8196804523468018,737280.0,1.4825999736785889,0.0,0.0030680338541666666,0.0035366931918656055,0.0035366931918656055,0.005305039787798408,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223330_0002.fit,16591680,1755203610.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:30.284814,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37545776367188,77.0,43.0,116.0,1.8199610710144043,737280.0,1.4825999736785889,0.0,0.003078884548611111,0.004405286343612335,0.006167400881057269,0.004405286343612335,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223332_0003.fit,16591680,1755203612.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:31.761490,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.40154266357422,77.0,43.0,118.0,1.8160001039505005,737280.0,1.4825999736785889,0.0,0.0031317816840277777,0.006063230835859679,0.006929406669553919,0.006063230835859679,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223333_0004.fit,16591680,1755203614.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:33.238081,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37711334228516,77.0,38.0,130.0,1.8209747076034546,737280.0,1.4825999736785889,0.0,0.0031141493055555558,0.006097560975609756,0.006097560975609756,0.006968641114982578,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223335_0005.fit,16591680,1755203614.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:34.831017,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.38224792480469,77.0,41.0,129.0,1.8224560022354126,737280.0,1.4825999736785889,0.0,0.0031819661458333333,0.0025575447570332483,0.008951406649616368,0.0025575447570332483,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223336_0006.fit,16591680,1755203616.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:36.320021,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.38077545166016,77.0,45.0,115.0,1.8213064670562744,737280.0,1.4825999736785889,0.0,0.003049045138888889,0.0035587188612099642,0.0035587188612099642,0.005338078291814947,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223338_0007.fit,16591680,1755203618.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:37.795828,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.3741455078125,77.0,41.0,128.0,1.8207042217254639,737280.0,1.4825999736785889,0.0,0.0031656901041666667,0.005998286203941731,0.007712082262210797,0.005998286203941731,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223339_0008.fit,16591680,1755203618.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:39.272223,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37303924560547,77.0,35.0,128.0,1.82399320602417,737280.0,1.4825999736785889,0.0,0.003085666232638889,0.005274725274725275,0.005274725274725275,0.007032967032967033,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223341_0009.fit,16591680,1755203620.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:40.753836,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.36444091796875,77.0,44.0,113.0,1.8215292692184448,737280.0,1.4825999736785889,0.0,0.003139919704861111,0.0034557235421166306,0.0034557235421166306,0.006047516198704104,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223342_0010.fit,16591680,1755203622.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:42.322726,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37592315673828,77.0,44.0,111.0,1.8198516368865967,737280.0,1.4825999736785889,0.0,0.00316162109375,0.010296010296010296,0.011154011154011155,0.010296010296010296,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223344_0011.fit,16591680,1755203624.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:43.793922,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.3764877319336,77.0,44.0,118.0,1.813957929611206,737280.0,1.4825999736785889,0.0,0.0030843098958333332,0.007036059806508356,0.011433597185576077,0.007036059806508356,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223345_0012.fit,16591680,1755203624.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:45.280458,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.39063262939453,77.0,46.0,117.0,1.8158118724822998,737280.0,1.4825999736785889,0.0,0.0030843098958333332,0.002638522427440633,0.002638522427440633,0.0079155672823219,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223347_0013.fit,16591680,1755203626.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:46.764333,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37816619873047,77.0,40.0,115.0,1.8161900043487549,737280.0,1.4825999736785889,0.0,0.003044976128472222,0.0071269487750556795,0.0071269487750556795,0.0071269487750556795,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223348_0014.fit,16591680,1755203628.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:48.236832,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.36346435546875,77.0,42.0,115.0,1.8158226013183594,737280.0,1.4825999736785889,0.0,0.003118218315972222,0.005219660722053067,0.005219660722053067,0.005219660722053067,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223350_0015.fit,16591680,1755203630.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:49.805095,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.39533233642578,77.0,42.0,118.0,1.81798255443573,737280.0,1.4825999736785889,0.0,0.003061252170138889,0.004430660168365086,0.004430660168365086,0.007975188303057155,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223351_0016.fit,16591680,1755203630.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:51.277739,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37236785888672,77.0,44.0,118.0,1.8159127235412598,737280.0,1.4825999736785889,0.0,0.0031005859375,0.004374453193350831,0.007874015748031496,0.004374453193350831,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223353_0017.fit,16591680,1755203632.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:52.748860,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37786865234375,77.0,41.0,129.0,1.8291668891906738,737280.0,1.4825999736785889,0.0,0.0032552083333333335,0.004166666666666667,0.004166666666666667,0.005833333333333334,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223354_0018.fit,16591680,1755203634.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:54.223379,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.36858367919922,77.0,41.0,115.0,1.826922059059143,737280.0,1.4825999736785889,0.0,0.0032511393229166666,0.0025031289111389237,0.004171881518564873,0.0025031289111389237,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223356_0019.fit,16591680,1755203636.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:55.695366,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37975311279297,77.0,39.0,119.0,1.8180747032165527,737280.0,1.4825999736785889,0.0,0.0030164930555555557,0.002697841726618705,0.008992805755395683,0.002697841726618705,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223357_0020.fit,16591680,1755203636.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:57.276771,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.37883758544922,77.0,46.0,117.0,1.814214825630188,737280.0,1.4825999736785889,0.0,0.0031114366319444442,0.006974716652136007,0.006974716652136007,0.011333914559721011,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
Z:\pix\_astro\raw\_by_type\bias\Bias_1.0ms_Bin1_20250814-223359_0021.fit,16591680,1755203638.0,2026-08-28T10:58:06,ok,bias,bias,True,Bias,0.00100000004749745,252.0,15.0,-10.0,-9.5,2025-08-14T20:33:58.745312,,RGGB,0.516568422317505,262.0,1.0,ZWO ASI585MC Pro,ZWO ASIAIR Plus,3840.0,2160.0,16.0,77.0,77.39996337890625,77.0,41.0,127.0,1.819939374923706,737280.0,1.4825999736785889,0.0,0.0031263563368055555,0.0026030368763557484,0.006073752711496746,0.0026030368763557484,1.0,0.0,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889,77.0,1.4825999736785889
