index_snapshot,gain,exptime,n_frames,total_s,n_clipped,nights,ccd_temp_min,ccd_temp_max,sky_level_med
2026-08-27T13:24:22,50.0,15.0,448,6720.0,15,2025-08-19|2025-09-18,-10.5,-9.0,1112.0
2026-08-27T13:24:22,50.0,30.0,224,6720.0,0,2025-08-19|2025-09-18,-10.0,-9.0,1200.0
2026-08-27T13:24:22,50.0,60.0,112,6720.0,0,2025-08-19|2025-09-18,-10.5,-9.5,1366.0
2026-08-27T13:24:22,50.0,120.0,56,6720.0,0,2025-08-19|2025-09-18,-10.5,-10.0,1690.0
2026-08-27T13:24:22,50.0,240.0,28,6720.0,1,2025-08-19|2025-09-18,-10.0,-10.0,2357.0
2026-08-27T13:24:22,50.0,480.0,14,6720.0,1,2025-08-19|2025-09-18,-10.5,-10.0,3698.0
2026-08-27T13:24:22,252.0,15.0,416,6240.0,32,2025-08-17|2025-08-18,-10.5,-9.0,2052.0
2026-08-27T13:24:22,252.0,30.0,208,6240.0,0,2025-08-17|2025-08-18,-10.0,-9.0,2926.0
2026-08-27T13:24:22,252.0,60.0,104,6240.0,0,2025-08-17|2025-08-18,-10.0,-9.5,4583.0
2026-08-27T13:24:22,252.0,120.0,52,6240.0,4,2025-08-17|2025-08-18,-10.5,-10.0,7887.0
2026-08-27T13:24:22,252.0,240.0,26,6240.0,2,2025-08-17|2025-08-18,-10.0,-10.0,14400.0
2026-08-27T13:24:22,252.0,480.0,13,6240.0,1,2025-08-17|2025-08-18,-10.5,-10.0,27696.0
