R,G1,G2,B,i,file,arm,block,cycle,event,gap_s,duty_pct,gain,offset,exptime,ccd_temp,date_obs,roi_w,t_min,level,departure,state,far
76.67122,76.66813,76.63279,76.62421,0,A00_000.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:46:42.490,1024,0.0,76.64909,0.03922,0,False
76.66126,76.65527,76.6223,76.62283,1,A00_001.fits,A,0,-1,none,15.0,58,250,15,3e-05,-9.5,2026-09-02T18:46:57.823,1024,0.25555,76.64041,0.03055,0,False
76.66278,76.66056,76.6264,76.62641,2,A00_002.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:47:58.137,1024,1.26078,76.64404,0.03418,0,False
76.65335,76.6507,76.62381,76.61836,3,A00_003.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:48:13.457,1024,1.51612,76.63655,0.02669,0,False
76.65637,76.65886,76.62981,76.6291,4,A00_004.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:49:13.777,1024,2.52145,76.64353,0.03367,0,False
76.66735,76.66317,76.62997,76.6365,5,A00_005.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:49:29.096,1024,2.77677,76.64925,0.03939,0,False
76.65896,76.64811,76.62014,76.6188,6,A00_006.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:29.410,1024,3.782,76.6365,0.02664,0,False
76.66592,76.66181,76.62743,76.63222,7,A00_007.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:31.732,1024,3.8207,76.64684,0.03698,0,False
76.66224,76.65499,76.62372,76.62532,8,A00_008.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:34.049,1024,3.85932,76.64157,0.0317,0,False
76.65592,76.64522,76.61323,76.61697,9,A00_009.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:36.370,1024,3.898,76.63284,0.02297,0,False
76.65094,76.64941,76.61284,76.6237,10,A00_010.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:51.691,1024,4.15335,76.63422,0.02436,0,False
76.65929,76.66195,76.62077,76.62957,11,A00_011.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:50:54.012,1024,4.19203,76.6429,0.03303,0,False
76.65839,76.65137,76.61747,76.62728,12,A00_012.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:51:09.332,1024,4.44737,76.63863,0.02877,0,False
76.65773,76.64931,76.62021,76.63129,13,A00_013.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:51:11.652,1024,4.48603,76.63964,0.02978,0,False
76.64764,76.6482,76.61499,76.62288,14,A00_014.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:52:11.967,1024,5.49128,76.63343,0.02356,0,False
76.66187,76.66645,76.61945,76.62556,15,A00_015.fits,A,0,-1,none,15.0,59,250,15,3e-05,-10.0,2026-09-02T18:52:27.286,1024,5.7466,76.64333,0.03347,0,False
76.6537,76.65062,76.61853,76.62272,16,A00_016.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:52:42.606,1024,6.00193,76.63639,0.02653,0,False
76.66088,76.65241,76.61346,76.62098,17,A00_017.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:52:44.928,1024,6.04063,76.63693,0.02707,0,False
76.65575,76.65176,76.62779,76.62188,18,A00_018.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:53:45.244,1024,7.0459,76.6393,0.02943,0,False
76.65402,76.65426,76.61821,76.61944,19,A00_019.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:54:45.556,1024,8.0511,76.63648,0.02662,0,False
76.66007,76.65844,76.62121,76.62073,20,A00_020.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:55:45.868,1024,9.0563,76.64011,0.03025,0,False
76.64964,76.64391,76.61572,76.61767,21,A00_021.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:56:01.186,1024,9.3116,76.63173,0.02187,0,False
76.6531,76.64199,76.61804,76.61826,22,A00_022.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:57:01.499,1024,10.31682,76.63285,0.02299,0,False
76.65627,76.65446,76.61983,76.6214,23,A00_023.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:01.816,1024,11.3221,76.63799,0.02813,0,False
76.66002,76.65269,76.62312,76.62882,24,A00_024.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:17.135,1024,11.57742,76.64116,0.0313,0,False
76.65332,76.64357,76.61997,76.6211,25,A00_025.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:19.457,1024,11.61612,76.63449,0.02463,0,False
76.65855,76.6467,76.62128,76.62647,26,A00_026.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:21.777,1024,11.65478,76.63825,0.02839,0,False
76.63739,76.6384,76.60432,76.60125,27,A00_027.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:37.097,1024,11.91012,76.62034,0.01048,0,False
76.65066,76.65586,76.61095,76.6204,28,A00_028.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:39.423,1024,11.94888,76.63447,0.02461,0,False
76.65747,76.64923,76.61863,76.628,29,A00_029.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T18:58:54.746,1024,12.20427,76.63833,0.02847,0,False
76.65942,76.65247,76.61023,76.61636,30,A00_030.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T18:59:55.061,1024,13.20952,76.63462,0.02476,0,False
76.65349,76.64597,76.62104,76.62614,31,A00_031.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:00:10.389,1024,13.46498,76.63666,0.0268,0,False
76.65695,76.64734,76.61622,76.62551,32,A00_032.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:00:12.707,1024,13.50362,76.63651,0.02664,0,False
76.64921,76.64334,76.61456,76.6157,33,A00_033.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:01:13.022,1024,14.50887,76.6307,0.02084,0,False
76.65248,76.64771,76.6095,76.61791,34,A00_034.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:01:28.344,1024,14.76423,76.6319,0.02204,0,False
76.64986,76.6469,76.60901,76.61664,35,A00_035.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:01:43.665,1024,15.01958,76.6306,0.02074,0,False
76.64563,76.65084,76.6072,76.60721,36,A00_036.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:01:58.987,1024,15.27495,76.62772,0.01786,0,False
76.64844,76.63771,76.60096,76.61367,37,A00_037.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:02:01.309,1024,15.31365,76.6252,0.01534,0,False
76.64935,76.64255,76.61236,76.61631,38,A00_038.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:02:03.635,1024,15.35242,76.63014,0.02028,0,False
76.64902,76.64853,76.60048,76.60701,39,A00_039.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:02:05.956,1024,15.3911,76.62626,0.0164,0,False
76.6477,76.64482,76.61836,76.61526,40,A00_040.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:03:06.272,1024,16.39637,76.63153,0.02167,0,False
76.64687,76.64605,76.61565,76.61452,41,A00_041.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:06.586,1024,17.4016,76.63077,0.02091,0,False
76.65566,76.64399,76.60995,76.61625,42,A00_042.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:08.910,1024,17.44033,76.63146,0.0216,0,False
76.65033,76.65129,76.61322,76.61914,43,A00_043.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:24.230,1024,17.69567,76.63349,0.02363,0,False
76.63915,76.6414,76.60387,76.60987,44,A00_044.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:26.548,1024,17.7343,76.62357,0.01371,0,False
76.64071,76.63727,76.607,76.60896,45,A00_045.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:28.871,1024,17.77302,76.62348,0.01362,0,False
76.64273,76.65034,76.61029,76.61292,46,A00_046.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:44.194,1024,18.0284,76.62907,0.01921,0,False
76.65058,76.64133,76.60802,76.61058,47,A00_047.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:46.519,1024,18.06715,76.62763,0.01776,0,False
76.65417,76.65363,76.6084,76.61617,48,A00_048.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:04:48.840,1024,18.10583,76.63309,0.02323,0,False
76.64648,76.63625,76.60813,76.60905,49,A00_049.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:05:49.157,1024,19.11112,76.62498,0.01511,0,False
76.6515,76.64911,76.61427,76.61851,50,A00_050.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:06:49.473,1024,20.11638,76.63334,0.02348,0,False
76.63818,76.6403,76.61224,76.61406,51,A00_051.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:06:51.799,1024,20.15515,76.62619,0.01633,0,False
76.64529,76.64452,76.61374,76.62133,52,A00_052.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:07:07.120,1024,20.4105,76.63122,0.02136,0,False
76.64426,76.63671,76.60701,76.61375,53,A00_053.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:07:09.445,1024,20.44925,76.62543,0.01557,0,False
76.65354,76.65255,76.61293,76.61576,54,A00_054.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:07:24.766,1024,20.7046,76.6337,0.02383,0,False
76.65166,76.65072,76.61959,76.61692,55,A00_055.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:07:40.087,1024,20.95995,76.63472,0.02486,0,False
76.65326,76.64894,76.61892,76.617,56,A00_056.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:07:42.412,1024,20.9987,76.63453,0.02467,0,False
76.65488,76.64932,76.61705,76.62904,57,A00_057.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:08:42.728,1024,22.00397,76.63757,0.02771,0,False
76.64949,76.65034,76.61969,76.62609,58,A00_058.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:09:43.050,1024,23.00933,76.6364,0.02654,0,False
76.65274,76.64827,76.62091,76.62034,59,A00_059.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:10:43.369,1024,24.01465,76.63557,0.02571,0,False
76.65212,76.65545,76.61275,76.61546,60,A00_060.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:11:43.683,1024,25.01988,76.63394,0.02408,0,False
76.64398,76.64596,76.60976,76.60966,61,A00_061.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:12:44.005,1024,26.02525,76.62734,0.01748,0,False
76.64304,76.63396,76.60359,76.60542,62,A00_062.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:12:46.331,1024,26.06402,76.6215,0.01164,0,False
76.6459,76.64503,76.61607,76.62012,63,A00_063.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:01.655,1024,26.31942,76.63178,0.02192,0,False
76.64454,76.64881,76.61026,76.60921,64,A00_064.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:03.977,1024,26.35812,76.62821,0.01834,0,False
76.65098,76.64405,76.61562,76.62197,65,A00_065.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:19.299,1024,26.61348,76.63316,0.0233,0,False
76.64052,76.64349,76.60625,76.60838,66,A00_066.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:21.624,1024,26.65223,76.62466,0.0148,0,False
76.64809,76.6449,76.61675,76.61513,67,A00_067.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:23.946,1024,26.69093,76.63122,0.02136,0,False
76.63964,76.63979,76.60654,76.60903,68,A00_068.fits,A,0,-1,none,15.0,58,250,15,3e-05,-10.0,2026-09-02T19:13:39.268,1024,26.9463,76.62375,0.01389,0,False
76.64375,76.64134,76.61229,76.61185,69,A00_069.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:14:39.584,1024,27.95157,76.62731,0.01745,0,False
76.64384,76.65062,76.61284,76.61465,70,A00_070.fits,A,0,-1,none,60.0,58,250,15,3e-05,-10.0,2026-09-02T19:15:39.901,1024,28.95685,76.63049,0.02063,0,False
76.64003,76.63767,76.60527,76.60363,71,A00_071.fits,A,0,-1,none,2.0,58,250,15,3e-05,-10.0,2026-09-02T19:15:42.229,1024,28.99565,76.62165,0.01179,0,False
