block,full_frame,t_min,level,n_clean,sd,R,G1,G2,B,n_anomalous
0,False,0.02447,76.60544,10,0.00701,76.62444,76.62207,76.58517,76.59007,0
2,False,0.54116,76.57717,10,0.00876,76.59433,76.59191,76.55743,76.56501,0
4,False,20.72426,76.52845,10,0.00542,76.54773,76.54444,76.50983,76.51178,0
6,False,40.80263,76.51828,10,0.00793,76.53759,76.53455,76.49886,76.50214,0
8,False,60.88078,76.50819,10,0.00633,76.52745,76.52521,76.48772,76.49236,0
10,False,80.95914,76.50246,10,0.01029,76.52065,76.51966,76.48197,76.48755,0
12,False,101.03743,76.49073,10,0.00833,76.50934,76.50584,76.47198,76.47575,0
14,False,121.11465,76.48558,10,0.00875,76.50494,76.50176,76.46512,76.4705,0
16,False,141.19027,76.48422,10,0.01171,76.50555,76.50081,76.46373,76.4668,0
18,False,161.2685,76.48008,9,0.0063,76.50098,76.49626,76.46029,76.46279,1
20,False,181.34434,76.47326,10,0.01038,76.4932,76.48924,76.45297,76.45762,0
22,False,201.41048,76.46656,9,0.01005,76.48602,76.48217,76.4464,76.45164,1
24,False,221.47399,76.46682,8,0.00788,76.48451,76.48247,76.44849,76.45182,2
26,False,241.54231,76.46598,8,0.0099,76.48489,76.48211,76.44609,76.45084,2
28,False,261.60275,76.46167,9,0.01127,76.48011,76.47655,76.44313,76.44689,1
29,True,261.6544,76.49357,5,0.00268,76.51233,76.5102,76.47596,76.47578,0
31,True,301.71777,76.47527,4,0.00904,76.49414,76.49245,76.45665,76.45782,1
