n,rejection,sigma_stack,mrs,bits,weight_mode,sigma_low,sigma_high,normalization,sigma_single,ideal,eta_comb
3,none,11.568078738973774,11.609056620541587,32,0,4,3,0,20.04033334482333,11.570291851283585,1.000191312002602
4,none,10.014210225579232,10.06236903665774,32,0,4,3,0,20.04033334482333,10.020166672411666,1.0005947994597935
8,none,7.0646192902940195,7.099796856399045,32,0,4,3,0,20.04033334482333,7.085327802681731,1.0029312991311736
16,none,4.990969593071027,5.019585564289181,32,0,4,3,0,20.04033334482333,5.010083336205833,1.003829665314199
32,none,3.529445027383694,3.5438069325025543,32,0,4,3,0,20.04033334482333,3.5426639013408656,1.003745312323782
3,winsorized,12.478392315992899,12.41819739418153,32,0,4,3,0,20.04033334482333,11.570291851283585,0.9272261649006299
4,winsorized,10.342844976625232,10.339126926814677,32,0,4,3,0,20.04033334482333,10.020166672411666,0.9688017847175688
8,winsorized,7.317902777110737,7.30800213667227,32,0,4,3,0,20.04033334482333,7.085327802681731,0.968218356882731
16,winsorized,5.111135633939731,5.119237963140326,32,0,4,3,0,20.04033334482333,5.010083336205833,0.980228993129653
32,winsorized,3.5827540206888,3.593878133474607,32,0,4,3,0,20.04033334482333,3.5426639013408656,0.9888102506852461
