gain,plane,g,g_err,resid_pct,g_free,R_counts,R_fit,R_e,n_rungs,S_max
0,B,9.37542087453049,0.03413408467621771,1.076268729467021,9.40326533672984,0.6601939786364249,0.6693725626509126,6.189596408547275,12,1398.0362232208251
0,G1,9.356518839392113,0.034826749168079076,1.1277178267540344,9.359862263602942,0.6601939786364249,0.6615754584922446,6.177117398764944,12,1967.3166538238524
0,G2,9.381215434020309,0.023012914680745004,0.7428192040615068,9.387553005641038,0.6601939786364249,0.6627891406458157,6.1934219418313035,12,1955.9993415832519
0,R,9.473453273594323,0.03427274677336639,1.1333398540629496,9.486778615491197,0.6601939786364249,0.6685893149593995,6.2543168081205005,12,3585.784737968445
50,B,5.390598524621373,0.014816941080039586,0.8049654700232229,5.414200852990666,0.9162544351316187,0.9337553085891113,4.939159806198293,12,1398.7418333053588
50,G1,5.355674446607764,0.019274553208888764,1.0823243118218775,5.370588725840244,0.9162544351316187,0.9301124644340536,4.907160464825441,12,1971.0322177886962
50,G2,5.389160129197753,0.015731499593770765,0.8771419950406028,5.406728826297595,0.9162544351316187,0.9323388567251569,4.937841870011929,12,1959.1830160140992
50,R,5.42068877748656,0.01191233607996319,0.6847354687703163,5.425155914309468,0.9162544351316187,0.9225261073880391,4.966730133840253,12,3602.2387512207033
100,B,2.9865141010235043,0.01743370059424352,1.6004590546499122,2.99885039691807,1.4251291999570406,1.4465663340716792,4.256168451452047,12,1390.3013759613036
100,G1,2.9690844141140253,0.016016801259499374,1.5013623810981043,2.9627955021210868,1.4251291999570406,1.412940167281682,4.23132889569124,12,1961.3131784439088
100,G2,2.9934558254387658,0.012321787018397154,1.1445880635308443,2.9857248402121472,1.4251291999570406,1.4103370211378294,4.266061305614291,12,1948.422119140625
100,R,2.9998546232553984,0.010713760181297502,1.0182621020415912,3.0059197764526595,1.4251291999570406,1.4394034548767884,4.275180419227396,12,3586.5012159347534
190,B,1.0482760596471787,0.01086335928915461,2.7536498252259984,1.0643038814171524,3.297783609347112,3.4330952722169457,3.4569876075754413,12,1384.9431394577027
190,G1,1.0300149460191126,0.007523609954232744,2.0160636132409824,1.0354765077895605,3.297783609347112,3.3521926985668555,3.3967664063643794,12,1959.6051986694335
190,G2,1.0472719057654523,0.0062641582830318685,1.6478094226873023,1.054517322656917,3.297783609347112,3.368252033841712,3.4536761253630215,12,1942.6053672790526
190,R,1.0569127003700414,0.00449245619538732,1.2390530214497852,1.0587307982314587,3.297783609347112,3.3217581424274965,3.4854693797911174,12,3583.2097328186037
200,B,0.9226929316043289,0.0010468134146921501,0.3608269151083331,0.9245893500891679,1.0768342946357072,1.1036366973719807,0.9935873921695003,12,1430.9291120529174
200,G1,0.9175333290027713,0.00227601696253305,0.7978860538786986,0.9200190201687864,1.0768342946357072,1.1244499479218912,0.9880313551414516,12,2019.4500005722045
200,G2,0.9202677248622266,0.0021466514431317677,0.7500872094421966,0.923408864326441,1.0768342946357072,1.1360253554770445,0.9909758463780229,12,2006.0901733398437
200,R,0.9260288323132907,0.002432144620841874,0.8559082250652739,0.9290975977695615,1.0768342946357072,1.1754522452555063,0.99717960445641,12,3694.302035713196
250,B,0.5149734765920727,0.0009102561116399501,0.5536422378582538,0.5134415416152879,1.7281476804634672,1.6811880346134862,0.8899502190727981,12,1440.7200372695922
250,G1,0.5103516919156679,0.001438947266026452,0.8963241259023366,0.5094960768807535,1.7281476804634672,1.6927884865144929,0.8819630926046674,12,2035.9217250823974
250,G2,0.5125595234065429,0.0006096479603676816,0.3779975565452748,0.5124552550920624,1.7281476804634672,1.723921718000249,0.8857785514744773,12,2021.340210723877
250,R,0.514230638124961,0.0009034745196091233,0.5407286913973984,0.5128408010830887,1.7281476804634672,1.6388786495604692,0.8886664844988998,11,2165.9774238586424
300,B,0.2772920874520001,0.0038012487516162615,4.188213059478266,0.28411789889060235,2.8978793148270485,3.348617691241545,0.8035590043923642,12,1371.3176528930665
300,G1,0.2742521404154614,0.003153910324527838,3.586336109238993,0.28013357689052154,2.8978793148270485,3.4032727302118517,0.7947496047570088,12,1941.3194032669066
300,G2,0.27633827627056823,0.0036079592021268877,4.068609235354297,0.2831425758130889,2.8978793148270485,3.470630425254708,0.8007949746994419,12,1925.3417291641235
300,R,0.27896381494621253,0.0022362329005638985,2.434252075157345,0.2835506097451051,2.8978793148270485,3.4583871999292066,0.80840346891787,11,2158.486578941345
450,B,0.04922793574057944,0.0013373793330608457,7.253853017530437,0.05113426512560631,13.706758139133754,15.484844203694253,0.6747554088849407,11,1120.8262859344482
450,G1,0.047126666220181794,0.0017811036220179038,10.58420019427024,0.04946223618988207,13.706758139133754,16.219554582887717,0.6459538157837166,12,1601.584799194336
450,G2,0.0488949562793723,0.00193689961305162,11.057059048418735,0.05149935930908629,13.706758139133754,16.397674510066423,0.6701913399448753,12,1577.198504638672
450,R,0.049075458605846625,0.0012705945785267633,7.223755530385277,0.051152812676659665,13.706758139133754,16.203167251410022,0.6726654416774098,11,2086.7753606796264
