phase,sigma_steps,sigma_file_adu,mad,std_raw,sigma,pair
grid,0.25,4.0,0.0,0.85311,0.0,0.0
grid,0.5,8.0,0.0,1.14108,0.98424,0.98356
grid,1.0,16.0,1.4826,1.04124,1.00042,0.99942
grid,2.0,32.0,0.7413,1.01066,1.0003,0.99995
grid,4.0,64.0,1.11195,1.0028,1.0002,0.99988
grid,8.0,128.0,0.92662,1.00072,1.00007,0.99997
random,0.25,4.0,0.0,1.59742,0.95469,0.95501
random,0.5,8.0,0.0,1.158,1.00379,1.00388
random,1.0,16.0,1.4826,1.04094,1.00011,0.99935
random,2.0,32.0,0.7413,1.01027,0.99991,1.00002
random,4.0,64.0,1.11195,1.0026,1.0,0.99992
random,8.0,128.0,0.92662,1.00065,1.0,0.99995
