file,gain,exptime,offset,set_temp,ccd_temp,date_obs,rotator,focuspos,object,t,cell,minutes,flipped,temp_off,temp_flag,sky_mode_R,sky_mean_R,sky_med_R,sky_clip_R,sky_p999_R,sky_mode_G1,sky_mean_G1,sky_med_G1,sky_clip_G1,sky_p999_G1,sky_mode_G2,sky_mean_G2,sky_med_G2,sky_clip_G2,sky_p999_G2,sky_mode_B,sky_mean_B,sky_med_B,sky_clip_B,sky_p999_B,sig_mean_R,sig_med_R,sig_clip_R,sig_p999_R,sig_mean_G1,sig_med_G1,sig_clip_G1,sig_p999_G1,sig_mean_G2,sig_med_G2,sig_clip_G2,sig_p999_G2,sig_mean_B,sig_med_B,sig_clip_B,sig_p999_B,sky_mode_green,sky_dev,rejected,reject_reason,F_sky_R,F_sky_err_R,F_sky_G1,F_sky_err_G1,F_sky_G2,F_sky_err_G2,F_sky_B,F_sky_err_B,F_sky_green
Light_NGC 7000_120.0s_Bin1_20260905-231856_181deg_0004.fit,50,120.0,15,-20.0,-20.0,2026-09-05T21:16:55.422942,181.0,6829,NGC 7000,2026-09-05 21:16:55.422942,B,26.87135591666667,False,0.0,False,108.89772727272727,114.07463073730469,110.0,0.0001068115234375,647.8600000000151,110.03117206982543,114.56962585449219,111.0,9.1552734375e-05,637.7200000000303,110.02813852813853,114.56303405761719,111.0,9.1552734375e-05,585.4650000000038,91.33714075165807,94.0264892578125,92.0,3.0517578125e-05,372.93000000000757,116.18919372558594,112.0,0.000194549560546875,752.5700000001816,116.33798599243164,113.0,0.000179290771484375,697.5710000000545,116.36542510986328,113.0,0.00018310546875,719.5710000000545,95.50333786010742,93.0,0.000141143798828125,473.5710000000545,110.02965529898198,0.7804205869848806,False,,1.9873654817555269,0.04512356666666666,2.0280439847077947,0.044891883333333334,2.0236092015926257,0.044796724999999996,1.1956060809399702,0.04514761666666667,2.02582659315021
Light_NGC 7000_30.0s_Bin1_20260905-231942_181deg_0004.fit,200,30.0,15,-20.0,-20.0,2026-09-05T21:19:11.569201,181.0,6829,NGC 7000,2026-09-05 21:19:11.569201,C,29.140460233333332,False,0.0,False,129.75,137.86724853515625,132.0,0.0001678466796875,989.9300000000076,131.5,138.72584533691406,133.0,0.0001068115234375,899.0,131.60169491525423,138.619140625,133.0,0.0001220703125,882.510000000053,105.6699604743083,109.87129211425781,107.0,4.57763671875e-05,520.4650000000038,140.0033302307129,135.0,0.00026702880859375,1083.0,140.2346954345703,136.0,0.000240325927734375,999.4270000001998,140.2027244567871,135.0,0.00028228759765625,1000.8570000000182,111.49067306518555,108.0,0.000179290771484375,641.0,131.55084745762713,0.29664582764426706,False,,1.8413083827068002,0.030635866666666667,1.8839525455641337,0.030458533333333333,1.886498626487389,0.030449633333333333,1.1045044825707144,0.0306611,1.8852255860257614
Light_NGC 7000_120.0s_Bin1_20260905-232208_181deg_0004.fit,200,120.0,15,-20.0,-20.0,2026-09-05T21:20:07.553035,181.0,6829,NGC 7000,2026-09-05 21:20:07.553035,D,30.073524133333333,False,0.0,False,303.15945945945947,334.7165832519531,312.0,0.000946044921875,3915.8500000003405,311.88823529411764,337.60682678222656,318.0,0.000732421875,3440.6900000002497,316.01145038167937,337.5795593261719,318.0,0.000885009765625,3175.060000000318,212.09223300970874,228.46926879882812,217.0,0.000335693359375,2073.0,344.2469596862793,328.0,0.00107574462890625,4095.0,344.48815536499023,330.0,0.00093841552734375,3786.857000000018,344.1954345703125,330.0,0.000904083251953125,3692.285000000091,234.0234832763672,224.0,0.0005950927734375,2445.7120000002906,313.9498428378985,0.23385743746092563,False,,1.7884643653613848,0.007658966666666667,1.844578405802798,0.007614633333333333,1.875427015882424,0.007612408333333333,1.0918821057514703,0.007665275,1.8600027108426112
Light_NGC 7000_30.0s_Bin1_20260905-232316_181deg_0005.fit,50,30.0,15,-20.0,-20.0,2026-09-05T21:22:45.572570,181.0,6829,NGC 7000,2026-09-05 21:22:45.572570,A,32.70718305,False,0.0,False,75.39580550360674,76.84184265136719,76.0,0.0,241.39500000001135,75.67286022536562,76.96156311035156,76.0,1.52587890625e-05,223.25500000002648,75.6859410430839,76.99371337890625,76.0,3.0517578125e-05,209.46500000000378,71.17177709638715,71.98492431640625,71.0,1.52587890625e-05,156.0,77.39210510253906,76.0,4.57763671875e-05,252.0,77.32277297973633,76.0,6.103515625e-05,227.0,77.33489608764648,76.0,6.103515625e-05,233.0,72.3675537109375,72.0,3.814697265625e-05,172.85700000001816,75.67940063422476,0.3321491341678991,False,,1.902557125380661,0.18049426666666665,1.9425386314240816,0.17956753333333333,1.9407648998357694,0.17918689999999998,1.140751890751465,0.18059046666666667,1.9416517656299255
Light_NGC 7000_120.0s_Bin1_20260905-232546_181deg_0005.fit,50,120.0,15,-20.0,-20.0,2026-09-05T21:23:45.567737,181.0,6829,NGC 7000,2026-09-05 21:23:45.567737,B,33.7071025,False,0.0,False,106.34962406015038,112.33224487304688,107.0,0.0001373291015625,799.7650000000795,107.5256,112.73883056640625,108.0,0.0001068115234375,649.3250000000189,107.61954765751211,112.69619750976562,108.0,0.0001068115234375,698.3000000000757,90.09684684684684,93.198486328125,91.0,7.62939453125e-05,401.93000000000757,114.01790237426758,110.0,0.00020599365234375,778.2850000000908,114.00772476196289,110.0,0.00019073486328125,736.142000000109,114.07684707641602,110.0,0.000202178955078125,734.0,94.38275527954102,92.0,0.00011444091796875,477.42800000007264,107.57257382875605,0.28542250037993894,False,,1.8723859765692659,0.04512356666666666,1.9155641356659328,0.044891883333333334,1.915712218723664,0.044796724999999996,1.1396097671715497,0.04514761666666667,1.9156381771947983
Light_NGC 7000_30.0s_Bin1_20260905-232638_181deg_0005.fit,200,30.0,15,-20.0,-20.0,2026-09-05T21:26:07.578560,181.0,6829,NGC 7000,2026-09-05 21:26:07.578560,C,36.073949549999995,False,0.0,False,127.72388059701493,136.2017822265625,130.0,0.00018310546875,1127.370000000068,129.16486486486485,136.9986572265625,131.0,0.0001373291015625,950.7900000000227,129.61888111888112,136.8576202392578,131.0,0.0001678466796875,914.7900000000227,105.62075471698114,109.22053527832031,106.0,9.1552734375e-05,613.5800000000454,138.9085350036621,133.0,0.000286102294921875,1129.5710000000545,138.99384689331055,134.0,0.000247955322265625,1034.4280000000726,138.96025848388672,134.0,0.000286102294921875,1049.8570000000182,111.00774002075195,108.0,0.00019073486328125,674.2850000000908,129.391872991873,0.0,False,,1.7792364588262033,0.030635866666666667,1.812827754212782,0.030458533333333333,1.8261226734195535,0.030449633333333333,1.1029957799247305,0.0306611,1.8194752138161676
Light_NGC 7000_120.0s_Bin1_20260905-232920_181deg_0005.fit,200,120.0,15,-20.0,-20.0,2026-09-05T21:27:19.572408,181.0,6829,NGC 7000,2026-09-05 21:27:19.572408,D,37.273847016666664,False,0.0,False,298.86296296296297,329.94456481933594,306.0,0.001007080078125,4040.430000000386,308.7089552238806,333.1421813964844,312.0,0.0008392333984375,3517.325000000019,307.8829787234043,333.0198059082031,312.0,0.0008697509765625,3479.3150000003443,212.5948275862069,226.45516967773438,214.0,0.0003814697265625,2111.0,339.73150634765625,323.0,0.00113677978515625,4095.0,340.19922256469727,325.0,0.00098419189453125,3949.8560000001453,339.8792304992676,325.0,0.0009765625,4019.141000000236,232.19713592529297,222.0,0.00066375732421875,2547.857000000018,308.2959669736424,-0.008081992562943171,False,,1.7555576419112677,0.007658966666666667,1.8203693538039687,0.007614633333333333,1.8135497704937071,0.007612408333333333,1.0957346313938372,0.007665275,1.816959562148838
Light_NGC 7000_30.0s_Bin1_20260905-233024_181deg_0006.fit,50,30.0,15,-20.0,-20.0,2026-09-05T21:29:53.568395,181.0,6829,NGC 7000,2026-09-05 21:29:53.568395,A,39.8404468,False,0.0,False,74.85069252077562,76.38116455078125,75.0,1.52587890625e-05,238.32500000001892,75.09563511525258,76.49775695800781,75.0,3.0517578125e-05,225.86000000001513,75.10552438498058,76.45597839355469,75.0,0.0,219.39500000001135,70.98691758779907,71.7569580078125,71.0,0.0,153.46500000000378,77.0246810913086,76.0,7.2479248046875e-05,242.85700000001816,76.9732551574707,76.0,6.4849853515625e-05,237.0,77.01774597167969,76.0,6.866455078125e-05,231.57100000005448,72.25533294677734,71.0,4.9591064453125e-05,170.0,75.10057975011658,-0.0831363596775479,False,,1.80416735729408,0.18049426666666665,1.8388877422230197,0.17956753333333333,1.8367618381618762,0.17918689999999998,1.107368025827774,0.18059046666666667,1.8378247901924478
Light_NGC 7000_120.0s_Bin1_20260905-233302_181deg_0006.fit,50,120.0,15,-20.0,-20.0,2026-09-05T21:31:01.569668,181.0,6829,NGC 7000,2026-09-05 21:31:01.569668,B,40.97380135,False,0.0,False,104.46782178217822,110.79205322265625,105.0,0.0001220703125,800.8600000000151,105.90851735015772,111.25389099121094,107.0,0.0001373291015625,686.4400000000605,105.96785714285714,111.20135498046875,107.0,0.0001220703125,712.3000000000757,89.18508287292818,92.40341186523438,90.0,3.0517578125e-05,437.0,112.6950454711914,108.0,0.00020599365234375,816.2850000000908,112.60836029052734,109.0,0.00018310546875,723.5710000000545,112.60245513916016,109.0,0.00017547607421875,754.5710000000545,93.70285034179688,91.0,0.00014495849609375,501.85700000001816,105.93818724650743,-0.04383733116788082,False,,1.7874723460257043,0.04512356666666666,1.842970250008856,0.044891883333333334,1.8417218929535568,0.044796724999999996,1.098445796786593,0.04514761666666667,1.8423460714812063
Light_NGC 7000_30.0s_Bin1_20260905-233400_181deg_0006.fit,200,30.0,15,-20.0,-20.0,2026-09-05T21:33:29.576655,181.0,6829,NGC 7000,2026-09-05 21:33:29.576655,C,43.440584466666664,False,0.0,False,125.02215189873418,134.067138671875,127.0,0.0001983642578125,1011.8600000000151,127.58949416342412,134.66091918945312,129.0,0.00018310546875,892.2300000000832,127.8875,134.59732055664062,129.0,0.0001983642578125,1055.9750000000568,104.62145748987854,108.76748657226562,105.0,9.1552734375e-05,607.3950000000114,136.67942810058594,131.0,0.0002899169921875,1156.2850000000908,136.5893898010254,132.0,0.000286102294921875,1044.9980000002543,136.54170989990234,131.0,0.0002899169921875,1063.7140000000363,110.41679000854492,107.0,0.000186920166015625,702.8570000000182,127.73849708171207,-0.22717594536508606,False,,1.6964666586561674,0.030635866666666667,1.7648442731905927,0.030458533333333333,1.7734027531893668,0.030449633333333333,1.0723562277148149,0.0306611,1.7691235131899798
