cell,gain,exptime,plane,arm,n,sigma_1,eta_comb_1,eta_vs_raw_1,sigma_4,eta_comb_4,eta_vs_raw_4
A,50,30.0,R,none,3,0.919499,1.046539,1.16255,0.260163,1.071927,1.115312
A,50,30.0,R,none,4,0.778415,1.070598,1.189276,0.220546,1.095074,1.139396
A,50,30.0,R,none,8,0.560197,1.051917,1.168524,0.162233,1.052658,1.095264
A,50,30.0,R,none,16,0.413539,1.007607,1.119302,0.11869,1.017418,1.058597
A,50,30.0,R,none,18,0.393676,0.997912,1.108533,0.114508,0.994261,1.034503
A,50,30.0,R,winsorized,3,0.99081,0.971218,1.078879,0.279978,0.996066,1.036381
A,50,30.0,R,winsorized,4,0.805761,1.034264,1.148914,0.227514,1.061533,1.104497
A,50,30.0,R,winsorized,8,0.579942,1.016103,1.12874,0.167164,1.021606,1.062955
A,50,30.0,R,winsorized,16,0.423539,0.983817,1.092875,0.124574,0.969361,1.008596
A,50,30.0,R,winsorized,18,0.401892,0.977511,1.085869,0.119361,0.953836,0.992442
A,50,30.0,G1,none,3,0.914177,1.053797,1.171357,0.260628,1.062169,1.096505
A,50,30.0,G1,none,4,0.777785,1.072651,1.192313,0.220132,1.089088,1.124294
A,50,30.0,G1,none,8,0.559831,1.05377,1.171326,0.159791,1.060912,1.095207
A,50,30.0,G1,none,16,0.413583,1.008615,1.121134,0.118983,1.007469,1.040036
A,50,30.0,G1,none,18,0.39367,0.999031,1.110481,0.113272,0.997735,1.029987
A,50,30.0,G1,winsorized,3,0.984114,0.978908,1.088113,0.277519,0.997521,1.029766
A,50,30.0,G1,winsorized,4,0.803708,1.038052,1.153855,0.228332,1.049977,1.083918
A,50,30.0,G1,winsorized,8,0.578831,1.01918,1.132877,0.166232,1.0198,1.052766
A,50,30.0,G1,winsorized,16,0.423674,0.984591,1.09443,0.122403,0.979316,1.010974
A,50,30.0,G1,winsorized,18,0.402034,0.978248,1.087379,0.11589,0.975197,1.006721
A,50,30.0,G2,none,3,0.915642,1.050432,1.169592,0.26033,1.059593,1.096877
A,50,30.0,G2,none,4,0.778222,1.070337,1.191754,0.219662,1.087525,1.125791
A,50,30.0,G2,none,8,0.559991,1.051787,1.1711,0.159815,1.056969,1.094161
A,50,30.0,G2,none,16,0.412353,1.010009,1.124583,0.117855,1.013483,1.049145
A,50,30.0,G2,none,18,0.392855,0.999505,1.112888,0.111952,1.005901,1.041295
A,50,30.0,G2,winsorized,3,0.985969,0.975507,1.086166,0.278011,0.992207,1.02712
A,50,30.0,G2,winsorized,4,0.803738,1.036358,1.15392,0.227022,1.052267,1.089293
A,50,30.0,G2,winsorized,8,0.57875,1.017697,1.133143,0.16564,1.019797,1.05568
A,50,30.0,G2,winsorized,16,0.423214,0.984088,1.095721,0.122632,0.974,1.008272
A,50,30.0,G2,winsorized,18,0.401781,0.977301,1.088165,0.115169,0.977806,1.012212
A,50,30.0,B,none,3,0.755682,1.027379,1.122213,0.212348,1.029808,1.071799
A,50,30.0,B,none,4,0.647438,1.03849,1.13435,0.183427,1.032458,1.074557
A,50,30.0,B,none,8,0.459695,1.034226,1.129692,0.131027,1.02202,1.063694
A,50,30.0,B,none,16,0.334349,1.005473,1.098286,0.09427,1.004455,1.045413
A,50,30.0,B,none,18,0.317038,0.999731,1.092013,0.089489,0.997606,1.038285
A,50,30.0,B,winsorized,3,0.809653,0.958895,1.047408,0.225024,0.971796,1.011422
A,50,30.0,B,winsorized,4,0.667555,1.007195,1.100166,0.188353,1.005455,1.046454
A,50,30.0,B,winsorized,8,0.474296,1.002388,1.094915,0.134105,0.998565,1.039283
A,50,30.0,B,winsorized,16,0.342557,0.981383,1.071971,0.096344,0.982836,1.022912
A,50,30.0,B,winsorized,18,0.323815,0.978807,1.069158,0.09202,0.970168,1.009727
B,50,120.0,R,none,3,1.744319,1.020962,1.114601,0.510923,1.043194,1.093556
B,50,120.0,R,none,4,1.504635,1.025026,1.119038,0.442465,1.043212,1.093574
B,50,120.0,R,none,8,1.023929,1.065078,1.162764,0.303437,1.075642,1.12757
B,50,120.0,R,none,16,0.753655,1.023207,1.117052,0.224371,1.02862,1.078277
B,50,120.0,R,none,18,0.719589,1.010358,1.103025,0.213107,1.02105,1.070343
B,50,120.0,R,winsorized,3,1.869835,0.952428,1.039782,0.546197,0.975824,1.022933
B,50,120.0,R,winsorized,4,1.54771,0.996498,1.087894,0.451579,1.022157,1.071503
B,50,120.0,R,winsorized,8,1.05869,1.030107,1.124585,0.315384,1.034898,1.084858
B,50,120.0,R,winsorized,16,0.774383,0.995819,1.087152,0.234674,0.983459,1.030936
B,50,120.0,R,winsorized,18,0.737856,0.985345,1.075718,0.225533,0.964795,1.011371
B,50,120.0,G1,none,3,1.724406,1.030321,1.131198,0.502126,1.042496,1.09437
B,50,120.0,G1,none,4,1.487103,1.03467,1.135973,0.43504,1.042049,1.0939
B,50,120.0,G1,none,8,1.018481,1.068255,1.172846,0.297645,1.07697,1.130558
B,50,120.0,G1,none,16,0.758375,1.014446,1.113769,0.223655,1.013463,1.063892
B,50,120.0,G1,none,18,0.719229,1.008485,1.107224,0.211485,1.01049,1.06077
B,50,120.0,G1,winsorized,3,1.843697,0.963658,1.058008,0.533578,0.981044,1.02986
B,50,120.0,G1,winsorized,4,1.529218,1.006174,1.104688,0.444043,1.020922,1.071721
B,50,120.0,G1,winsorized,8,1.053601,1.032646,1.133751,0.309842,1.034576,1.086055
B,50,120.0,G1,winsorized,16,0.780001,0.986319,1.082888,0.232076,0.97669,1.025289
B,50,120.0,G1,winsorized,18,0.740125,0.980012,1.075963,0.221342,0.965491,1.013532
B,50,120.0,G2,none,3,1.720628,1.031917,1.133829,0.494686,1.060567,1.108918
B,50,120.0,G2,none,4,1.482546,1.03718,1.139612,0.427255,1.063435,1.111917
B,50,120.0,G2,none,8,1.016371,1.069781,1.175433,0.295386,1.087662,1.137249
B,50,120.0,G2,none,16,0.755406,1.017776,1.118291,0.222424,1.021378,1.067942
B,50,120.0,G2,none,18,0.71864,1.00866,1.108276,0.209247,1.023609,1.070275
B,50,120.0,G2,winsorized,3,1.84203,0.963907,1.059102,0.524692,0.999915,1.045501
B,50,120.0,G2,winsorized,4,1.526984,1.006996,1.106447,0.441067,1.030134,1.077098
B,50,120.0,G2,winsorized,8,1.050291,1.035232,1.137471,0.307327,1.045401,1.093061
B,50,120.0,G2,winsorized,16,0.774502,0.992682,1.090719,0.23208,0.978884,1.023511
B,50,120.0,G2,winsorized,18,0.736913,0.983649,1.080794,0.222035,0.964651,1.008629
B,50,120.0,B,none,3,1.32326,1.006442,1.126664,0.371155,1.022809,1.087231
B,50,120.0,B,none,4,1.138038,1.013462,1.134523,0.321699,1.021955,1.086323
B,50,120.0,B,none,8,0.777017,1.049589,1.174965,0.220878,1.052481,1.118772
B,50,120.0,B,none,16,0.568537,1.014322,1.135485,0.161217,1.019624,1.083845
B,50,120.0,B,none,18,0.540427,1.006053,1.126229,0.153253,1.011264,1.074959
B,50,120.0,B,winsorized,3,1.421063,0.937174,1.049122,0.39686,0.956561,1.016811
B,50,120.0,B,winsorized,4,1.17214,0.983977,1.101515,0.327868,1.002724,1.065881
B,50,120.0,B,winsorized,8,0.803836,1.01457,1.135763,0.22881,1.015993,1.079985
B,50,120.0,B,winsorized,16,0.583026,0.989115,1.107267,0.167364,0.982176,1.044038
B,50,120.0,B,winsorized,18,0.554565,0.980406,1.097517,0.158953,0.975003,1.036413
C,200,30.0,R,none,3,4.71759,1.00927,1.111271,1.393607,0.992242,1.028282
C,200,30.0,R,none,4,4.038702,1.020978,1.124162,1.194752,1.00233,1.038736
C,200,30.0,R,none,8,2.80662,1.038866,1.143858,0.8127,1.041942,1.079787
C,200,30.0,R,none,16,2.045405,1.007973,1.109843,0.590286,1.014369,1.051213
